year,total_agrifood_emissions,wheat_production_tonnes,cattle_stocks,household_consumption_emissions
1990,176663.935,14033000,12079000,25563.663215
1991,176490.617,14362419,11885000,26777.125623
1992,176346.438,14093267,11924000,26615.915907
1993,169613.7273,12890070,11851000,25047.343746
1994,167975.7076,13314154,11954000,23864.885488
1995,165728.2083,14309981,11857000,22914.489533
1996,168311.2514,16071178,12040000,24312.777278
1997,163554.4373,15018248,11633000,22189.812228
1998,167076.5515,15449029,11519000,22834.333732
1999,160546.0897,14866478,11423000,22153.573791
2000,157917.7527,16703526,11133000,23125.379953
2001,156514.0545,11580107,10600000,23499.186077
2002,155478.5658,15972556,10343000,22695.293537
2003,154765.839,14281852,10517000,23306.19572
2004,155749.8596,15473000,10551000,23350.831095
2005,164896.5036,14863000,10770200,22739.987545
2006,164819.9585,14755222,10579000,22757.940021
2007,151542.6808,13220620,10304000,21680.68214
2008,149649.1572,17227051,10107000,20595.895768
2009,142938.6525,14075596,10025000,18771.790094
2010,146153.7316,14877835,10112000,19701.081253
2011,143600.2307,15257083,9933000,17651.695415
2012,146727.2114,13261000,9900000,19343.770208
2013,145376.8871,11921304,9844000,18308.606698
2014,141884.9127,16606009,9837000,15665.927523
2015,139053.2946,16444000,9919000,14231.776935
2016,135696.1913,14383000,10033000,12562.285357
2017,134412.3989,14837000,10004000,11606.540598
2018,132907.2735,13555000,9892000,11262.500426
2019,131291.165,16225000,9739000,10479.872436
2020,126795.1588,9658000,9615000,10420.516687
2021,128698.1351,13988000,9603000,10744.552689
2022,126683.0108,15540000,9631892,9179.179496
2023,125798.0776,13980000,9555426,8634.485471
